TaxonName,CommonName,FleetGearName,bycatch,destruction,TaxonKey,FunctionalGroupDescription,fish_type
Nemadactylus,Porae,Seine,high,non-destructive,501523,Medium demersals (30 - 89 cm),demersal
Inermiidae,Bonnetmouths,Trap,high,non-destructive,400479,Small pelagics (<30 cm),demersal
Scymnodon ringens,Knifetooth dogfish,Lines Non-tuna,low,non-destructive,600700,Small to medium sharks (<90 cm),pelagic
Caranx sexfasciatus,Bigeye trevally,Gillnet,high,non-destructive,601917,Large reef assoc. fish (>=90 cm),pelagic
Plectorhinchus pictus,Trout sweetlips,Trap,high,non-destructive,608315,Medium reef assoc. fish (30 - 89 cm),demersal
Myliobatidae,Eagle and manta rays,Other,low,non-destructive,400022,Large rays (>=90 cm),pelagic
Pandalus goniurus,Humpy shrimp,Trawl,high,destructive,690616,Shrimps,demersal
Macrodon ancylodon,King weakfish,Trawl midwater,high,non-destructive,600417,Medium demersals (30 - 89 cm),pelagic
Anthias anthias,Swallowtail seaperch,Trawl,high,destructive,601692,Small reef assoc. fish (<30 cm),demersal
Palaemon longirostris,Delta prawn,Trawl,high,destructive,690680,Shrimps,demersal
Rhabdosargus globiceps,White stumpnose,Trawl,high,destructive,600449,Medium benthopelagics (30 - 89 cm),demersal
Chelon haematocheilus,So-iny (redlip) mullet,Seine,high,non-destructive,NA,NA,pelagic
Oncorhynchus mykiss,Rainbow trout,Lines Non-tuna,low,non-destructive,600239,Large benthopelagics (>=90 cm),pelagic
Halobatrachus didactylus,Lusitanian toadfish,Trawl,high,destructive,605429,Medium demersals (30 - 89 cm),demersal
Decapterus macrosoma,Shortfin scad,Seine,high,non-destructive,601938,Medium pelagics (30 - 89 cm),pelagic
Parapristipoma octolineatum,African striped grunt,Trawl midwater,high,non-destructive,608092,Medium demersals (30 - 89 cm),pelagic
Mycteroperca microlepis,Gag,Lines Non-tuna,low,non-destructive,601212,Large demersals (>=90 cm),demersal
Carcharhinus obscurus,Dusky shark,Gillnet,high,non-destructive,600878,Large sharks (>=90 cm),pelagic
Capromimus abbreviatus,Capro dory,Trawl,high,destructive,649232,Small bathydemersals (<30 cm),demersal
Liza aurata,Golden grey mullet,Seine,high,non-destructive,601735,Medium pelagics (30 - 89 cm),pelagic
Mulinia,Taquilla clams,Dredge,high,destructive,590137,Other demersal invertebrates,demersal
Belone,Needlefishes,Lines Non-tuna,low,non-destructive,500871,Medium pelagics (30 - 89 cm),pelagic
Austroglossus pectoralis,Mud sole,Trawl,high,destructive,600528,Small to medium flatfishes (<90 cm),demersal
Seriolella brama,Common warehou,Trawl midwater,high,non-destructive,612918,Medium benthopelagics (30 - 89 cm),pelagic
Chlamys delicatula,Delicate scallop,Dredge,high,destructive,690679,Other demersal invertebrates,demersal
Opisthonema libertate,Pacific thread herring,Gillnet,high,non-destructive,601484,Small pelagics (<30 cm),pelagic
Artemesia longinaris,Argentine stiletto shrimp,Trawl,high,destructive,690024,Shrimps,demersal
Batrachoididae,Toadfishes,Trawl,high,destructive,400189,Large reef assoc. fish (>=90 cm),demersal
Mulloidichthys flavolineatus,Yellowstripe goatfish,Other,low,non-destructive,605983,Medium reef assoc. fish (30 - 89 cm),pelagic
Carcharias taurus,Sand tiger shark,Lines Non-tuna,low,non-destructive,600747,Large sharks (>=90 cm),pelagic
Pterygotrigla,Pterygotrigla,Lines Non-tuna,low,non-destructive,504943,Medium demersals (30 - 89 cm),demersal
Echeneidae,Remoras,Trawl midwater,high,non-destructive,400313,Large pelagics (>=90 cm),pelagic
Orthopristis chrysoptera,Pigfish,Lines Non-tuna,low,non-destructive,600005,Medium demersals (30 - 89 cm),demersal
Anchoa hepsetus,Broad-striped anchovy,Seine,high,non-destructive,601133,Small pelagics (<30 cm),pelagic
Sepiida,Cuttlefishes,Trap,high,non-destructive,390006,Cephalopods,demersal
Xiphias gladius,Swordfish,Lines Non-tuna,low,non-destructive,600226,Large pelagics (>=90 cm),pelagic
Sebastolobus alascanus,Shortspine thornyhead,Trawl,high,destructive,604009,Medium bathydemersals (30 - 89 cm),demersal
Gadiformes,Cods,Trap,high,non-destructive,300044,Large bathypelagics (>=90 cm),demersal
Diplodus puntazzo,Sharpsnout seabream,Lines Non-tuna,low,non-destructive,601749,Medium benthopelagics (30 - 89 cm),pelagic
Patagonotothen brevicauda brevicauda,Patagonian rockcod,Trawl,high,destructive,607052,Small demersals (<30 cm),demersal
Paralomis,Paralomis,Dredge,high,destructive,590074,"Lobsters, crabs",demersal
Trachurus declivis,Greenback horse mackerel,Trawl midwater,high,non-destructive,600372,Medium benthopelagics (30 - 89 cm),pelagic
Inermiidae,Bonnetmouths,Trawl,high,destructive,400479,Small pelagics (<30 cm),demersal
Plectorhinchus gaterinus,Blackspotted rubberlips,Trap,high,non-destructive,607703,Medium reef assoc. fish (30 - 89 cm),demersal
Dasyatidae,Stingrays,Lines Non-tuna,low,non-destructive,400020,Large rays (>=90 cm),pelagic
Trachipterus,Deaf fishes,Trawl midwater,high,non-destructive,500211,Large bathypelagics (>=90 cm),pelagic
Coregonus oxyrinchus,Houting,Gillnet,high,non-destructive,600233,Medium demersals (30 - 89 cm),demersal
Anchoa mitchilli,Bay anchovy,Purse seine Non-tuna,low,non-destructive,600545,Small pelagics (<30 cm),pelagic
Galatheidae,Squat lobsters,Trap,high,non-destructive,490124,"Lobsters, crabs",demersal
Liza aurata,Golden grey mullet,Gillnet,high,non-destructive,601735,Medium pelagics (30 - 89 cm),pelagic
Trachinotus mookalee,Indian pompano,Trap,high,non-destructive,601964,Medium demersals (30 - 89 cm),demersal
Mugil,Grey mullets,Lines Non-tuna,low,non-destructive,500152,Medium demersals (30 - 89 cm),demersal
Carcharhinus brachyurus,Copper shark,Trawl,high,destructive,600864,Large sharks (>=90 cm),demersal
Sphyraena obtusata,Obtuse barracuda,Gillnet,high,non-destructive,604493,Medium reef assoc. fish (30 - 89 cm),pelagic
Paralomis,Paralomis,Gillnet,high,non-destructive,590074,"Lobsters, crabs",demersal
Ostrea edulis,European flat oyster,Other,low,non-destructive,690123,Other demersal invertebrates,demersal
Bolbometopon muricatum,Green humphead parrotfish,Lines Non-tuna,low,non-destructive,605537,Large reef assoc. fish (>=90 cm),pelagic
Sphyrnidae,Hammerhead bonnethead scoophead shark,Trawl,high,destructive,400012,Large sharks (>=90 cm),demersal
Bramidae,Pomfrets,Lines Non-tuna,low,non-destructive,400319,Medium pelagics (30 - 89 cm),pelagic
Diagramma pictum,Painted sweetlips,Lines Non-tuna,low,non-destructive,604465,Large reef assoc. fish (>=90 cm),pelagic
Pharus legumen,Bean solen,Dredge,high,destructive,690759,Other demersal invertebrates,demersal
Ostrea,Flat oysters,Dredge,high,destructive,590112,Other demersal invertebrates,demersal
Heterocarpus vicarius,Northern nylon shrimp,Trawl,high,destructive,690610,Shrimps,demersal
Pseudocyttus maculatus,Smooth oreo,Trawl,high,destructive,607151,Medium benthopelagics (30 - 89 cm),demersal
Grammoplites suppositus,Spotfin flathead,Trawl,high,destructive,628128,Small demersals (<30 cm),demersal
Macroramphosidae,Snipefishes,Trawl,high,destructive,NA,NA,demersal
Carcharias taurus,Sand tiger shark,Trawl,high,destructive,600747,Large sharks (>=90 cm),demersal
Decapterus macrosoma,Shortfin scad,Gillnet,high,non-destructive,601938,Medium pelagics (30 - 89 cm),pelagic
Stomatopoda,Mantis shrimps,Trap,high,non-destructive,390017,Shrimps,demersal
Lutjanus griseus,Grey snapper,Trawl midwater,high,non-destructive,600266,Medium reef assoc. fish (30 - 89 cm),pelagic
Etmopterus granulosus,Southern lanternshark,Gillnet,high,non-destructive,600679,Small to medium sharks (<90 cm),pelagic
Ammodytes,Sandlances,Trawl,high,destructive,500124,Large reef assoc. fish (>=90 cm),demersal
Kyphosus,Sea chubs,Trawl,high,destructive,500477,Medium reef assoc. fish (30 - 89 cm),demersal
Seriolella,Barrelfishes,Other,low,non-destructive,502004,Medium benthopelagics (30 - 89 cm),pelagic
Ablennes hians,Flat needlefish,Gillnet,high,non-destructive,600972,Large pelagics (>=90 cm),pelagic
Diplodus vulgaris,Common two-banded seabream,Trawl,high,destructive,601754,Medium benthopelagics (30 - 89 cm),demersal
Perciformes,Perch-likes,Trap,high,non-destructive,300060,Medium reef assoc. fish (30 - 89 cm),demersal
Enchelyopus cimbrius,Fourbeard rockling,Trawl,high,destructive,601874,Medium demersals (30 - 89 cm),demersal
Citharichthys sordidus,Pacific sanddab,Trawl,high,destructive,604215,Small to medium flatfishes (<90 cm),demersal
Pomadasys jubelini,Sompat grunt,Gillnet,high,non-destructive,604708,Medium demersals (30 - 89 cm),demersal
Echeneidae,Remoras,Gillnet,high,non-destructive,400313,Large pelagics (>=90 cm),pelagic
Thunnus,Tuna,Trawl,high,destructive,501905,Large pelagics (>=90 cm),demersal
Benthosema pterotum,Skinnycheek lanternfish,Trawl,high,destructive,610238,Small bathypelagics (<30 cm),demersal
Monotaxis grandoculis,Humpnose big-eye bream,Other,low,non-destructive,601869,Medium reef assoc. fish (30 - 89 cm),pelagic
Pitar rostratus,Rostrate pitar,Dredge,high,destructive,690751,Other demersal invertebrates,demersal
Atherina presbyter,Sand smelt,Trawl,high,destructive,600045,Small pelagics (<30 cm),demersal
Pleuronectes quadrituberculatus,Alaska plaice,Gillnet,high,non-destructive,604250,Small to medium flatfishes (<90 cm),demersal
Mola mola,Ocean sunfish,Pole and Line Tuna,low,non-destructive,601732,Large pelagics (>=90 cm),pelagic
Strangomera bentincki,Araucanian herring,Gillnet,high,non-destructive,NA,NA,pelagic
Epinephelus niveatus,Snowy grouper,Lines Non-tuna,low,non-destructive,NA,NA,demersal
Scomberoides tol,Needlescaled queenfish,Trawl midwater,high,non-destructive,601953,Medium pelagics (30 - 89 cm),pelagic
Girella tricuspidata,Luderick,Trawl midwater,high,non-destructive,608173,Medium benthopelagics (30 - 89 cm),pelagic
Dentex maroccanus,Morocco dentex,Lines Non-tuna,low,non-destructive,604538,Medium demersals (30 - 89 cm),demersal
Trematomus eulepidotus,Blunt scalyhead,Trawl,high,destructive,607054,Small demersals (<30 cm),demersal
Lutjanus guttatus,Spotted rose snapper,Other,low,non-destructive,600152,Medium reef assoc. fish (30 - 89 cm),pelagic
Lethrinus harak,Thumbprint emperor,Other,low,non-destructive,601851,Medium reef assoc. fish (30 - 89 cm),pelagic
Amblyraja georgiana,Antarctic starry skate,Trawl,high,destructive,606953,Large rays (>=90 cm),demersal
Belone,Needlefishes,Trawl midwater,high,non-destructive,500871,Medium pelagics (30 - 89 cm),pelagic
Portunidae,Swimming crabs,Gillnet,high,non-destructive,490031,"Lobsters, crabs",demersal
Tripterophycis gilchristi,Grenadier cod,Trawl,high,destructive,602023,Medium benthopelagics (30 - 89 cm),demersal
Lutjanus gibbus,Humpback red snapper,Other,low,non-destructive,600265,Medium reef assoc. fish (30 - 89 cm),pelagic
Upogebia pugettensis,Blue mud shrimp,Seine,high,non-destructive,690665,"Lobsters, crabs",demersal
Scorpaena porcus,Black scorpionfish,Lines Non-tuna,low,non-destructive,601758,Small demersals (<30 cm),demersal
Cephalopholis argus,Peacock hind,Trap,high,non-destructive,606396,Medium reef assoc. fish (30 - 89 cm),demersal
Strangomera bentincki,Araucanian herring,Seine,high,non-destructive,NA,NA,pelagic
Callista chione,Smooth callista,Dredge,high,destructive,690690,Other demersal invertebrates,demersal
Spisula ovalis,Venus clam,Dredge,high,destructive,690631,Other demersal invertebrates,demersal
Mola mola,Ocean sunfish,Lines Non-tuna,low,non-destructive,601732,Large pelagics (>=90 cm),pelagic
Taractichthys steindachneri,Sickle pomfret,Trawl midwater,high,non-destructive,603561,Medium benthopelagics (30 - 89 cm),pelagic
Lithognathus,Steenbras,Lines Non-tuna,low,non-destructive,501550,Large benthopelagics (>=90 cm),pelagic
Haliporoides diomedeae,Chilean nylon shrimp,Trawl,high,destructive,690609,Shrimps,demersal
Oncorhynchus mykiss,Rainbow trout,Gillnet,high,non-destructive,600239,Large benthopelagics (>=90 cm),pelagic
Tresus,Gaper clams,Dredge,high,destructive,590269,Other demersal invertebrates,demersal
Pleuronectidae,Righteye flounders,Gillnet,high,non-destructive,400440,Small to medium flatfishes (<90 cm),demersal
Epinephelus analogus,Spotted grouper,Lines Non-tuna,low,non-destructive,600348,Large reef assoc. fish (>=90 cm),pelagic
Pterothrissus belloci,Longfin bonefish,Trawl,high,destructive,600229,Medium bathydemersals (30 - 89 cm),demersal
Miichthys miiuy,Mi-iuy croaker,Seine,high,non-destructive,604569,Medium demersals (30 - 89 cm),demersal
Anchoa hepsetus,Broad-striped anchovy,Purse seine Non-tuna,low,non-destructive,601133,Small pelagics (<30 cm),pelagic
Menticirrhus saxatilis,Northern kingcroaker,Seine,high,non-destructive,600410,Medium demersals (30 - 89 cm),demersal
Mugil,Grey mullets,Seine,high,non-destructive,500152,Medium demersals (30 - 89 cm),demersal
Aphareus rutilans,Rusty jobfish,Lines Non-tuna,low,non-destructive,600083,Medium reef assoc. fish (30 - 89 cm),pelagic
Carcharhiniformes,Ground sharks,Gillnet,high,non-destructive,300008,Large sharks (>=90 cm),pelagic
Lutjanus vivanus,Silk snapper,Seine,high,non-destructive,600185,Medium demersals (30 - 89 cm),demersal
Lutjanus gibbus,Humpback red snapper,Trap,high,non-destructive,600265,Medium reef assoc. fish (30 - 89 cm),demersal
Liocarcinus depurator,Blue-leg swimcrab,Trawl,high,destructive,690676,"Lobsters, crabs",demersal
Liza klunzingeri,Klunzingers mullet,Trawl,high,destructive,646376,Small demersals (<30 cm),demersal
Parapenaeopsis atlantica,Guinea shrimp,Trawl,high,destructive,690168,Shrimps,demersal
Sphyraena obtusata,Obtuse barracuda,Other,low,non-destructive,604493,Medium reef assoc. fish (30 - 89 cm),pelagic
Echinorhinus brucus,Bramble shark,Lines Non-tuna,low,non-destructive,600641,Large sharks (>=90 cm),pelagic
Pleuronichthys decurrens,Curlfin sole,Trawl,high,destructive,604252,Small to medium flatfishes (<90 cm),demersal
Selene setapinnis,Atlantic moonfish,Seine,high,non-destructive,600378,Medium demersals (30 - 89 cm),demersal
Tylosurus crocodilus crocodilus,Hound needlefish,Purse seine Non-tuna,low,non-destructive,NA,NA,pelagic
Parapristipoma octolineatum,African striped grunt,Lines Non-tuna,low,non-destructive,608092,Medium demersals (30 - 89 cm),demersal
Apogonidae,Cardinalfishes,Lines Non-tuna,low,non-destructive,400304,Small reef assoc. fish (<30 cm),pelagic
Cephalopholis hemistiktos,Yellowfin hind,Gillnet,high,non-destructive,606447,Medium reef assoc. fish (30 - 89 cm),pelagic
Metanephrops andamanicus,Andaman lobster,Trap,high,non-destructive,690013,"Lobsters, crabs",demersal
Chloroscombrus chrysurus,Atlantic bumper,Trap,high,non-destructive,600385,Medium pelagics (30 - 89 cm),demersal
Cheilinus undulatus,Humphead wrasse,Seine,high,non-destructive,605604,Large reef assoc. fish (>=90 cm),pelagic
Seriolella punctata,Silver warehou,Trawl midwater,high,non-destructive,612922,Medium benthopelagics (30 - 89 cm),pelagic
Merluccius paradoxus,Deep-water Cape hake,Trawl,high,destructive,601826,Large bathydemersals (>=90 cm),demersal
Microstomus kitt,Lemon sole,Gillnet,high,non-destructive,601382,Small to medium flatfishes (<90 cm),demersal
Lophius gastrophysus,Blackfin goosefish,Trawl,high,destructive,601078,Medium bathydemersals (30 - 89 cm),demersal
Plectorhinchus pictus,Trout sweetlips,Gillnet,high,non-destructive,608315,Medium reef assoc. fish (30 - 89 cm),pelagic
Parapristipoma octolineatum,African striped grunt,Gillnet,high,non-destructive,608092,Medium demersals (30 - 89 cm),demersal
Centropomus,Snooks,Seine,high,non-destructive,500504,Large reef assoc. fish (>=90 cm),pelagic
Fistularia corneta,Pacific cornetfish,Trawl,high,destructive,608289,Large pelagics (>=90 cm),demersal
Metanephrops andamanicus,Andaman lobster,Dredge,high,destructive,690013,"Lobsters, crabs",demersal
Scombroids,Tunas bonitos billfishes,Other,low,non-destructive,NA,NA,pelagic
Anguilliformes,Eels and morays,Other,low,non-destructive,300026,Large demersals (>=90 cm),demersal
Rhabdosargus haffara,Haffara seabream,Lines Non-tuna,low,non-destructive,608166,Medium reef assoc. fish (30 - 89 cm),pelagic
Caproidae,Boarfishes,Lines Non-tuna,low,non-destructive,400252,Small bathydemersals (<30 cm),demersal
Calamus bajonado,Jolthead porgy,Other,low,non-destructive,601221,Medium reef assoc. fish (30 - 89 cm),pelagic
Petrus rupestris,Red steenbras,Trawl midwater,high,non-destructive,600447,Large demersals (>=90 cm),pelagic
Haliotis midae,Perlemoen abalone,Other,low,non-destructive,690302,Other demersal invertebrates,demersal
Sebastes entomelas,Widow rockfish,Gillnet,high,non-destructive,600502,Medium pelagics (30 - 89 cm),pelagic
Inermiidae,Bonnetmouths,Other,low,non-destructive,400479,Small pelagics (<30 cm),pelagic
Regalecus glesne,King of herrings,Lines Non-tuna,low,non-destructive,603267,Large pelagics (>=90 cm),pelagic
Carcharhiniformes,Ground sharks,Trawl,high,destructive,300008,Large sharks (>=90 cm),demersal
Mustelus henlei,Brown smooth-hound,Lines Non-tuna,low,non-destructive,602540,Small to medium sharks (<90 cm),pelagic
Neocyttus rhomboidalis,Spiky oreo,Trawl,high,destructive,609146,Medium bathypelagics (30 - 89 cm),demersal
Trigloporus lastoviza,Streaked gurnard,Trawl midwater,high,non-destructive,605081,Medium demersals (30 - 89 cm),pelagic
Trachyrincus scabrus,Roughsnout grenadier,Trawl,high,destructive,604556,Medium bathypelagics (30 - 89 cm),demersal
Cynoscion analis,Peruvian weakfish,Gillnet,high,non-destructive,600403,Medium demersals (30 - 89 cm),demersal
Somniosus rostratus,Little sleeper shark,Trawl,high,destructive,600704,Large sharks (>=90 cm),demersal
Microgadus proximus,Pacific tomcod,Lines Non-tuna,low,non-destructive,601879,Medium demersals (30 - 89 cm),demersal
